tweet,original_sentiment,conllu_parse
"The flu has killed 10,000 Americans as the world worries over coronavirus",negative,"# text = The flu has killed 10,000 Americans as the world worries over coronavirus
1	The	the	DET	DT	_	2	det	_	_
2	flu	flu	NOUN	NN	_	4	nsubj	_	_
3	has	have	AUX	VBZ	_	4	aux	_	_
4	killed	kill	VERB	VBN	_	0	ROOT	_	_
5	10,000	10,000	NUM	CD	_	6	nummod	_	_
6	Americans	Americans	PROPN	NNPS	_	4	dobj	_	_
7	as	as	SCONJ	IN	_	10	mark	_	_
8	the	the	DET	DT	_	9	det	_	_
9	world	world	NOUN	NN	_	10	nsubj	_	_
10	worries	worry	VERB	VBZ	_	4	advcl	_	_
11	over	over	ADP	IN	_	10	prep	_	_
12	coronavirus	coronavirus	NOUN	NN	_	11	pobj	_	_"
@Kevkowichy Coronavirus,neutral,"# text = @Kevkowichy Coronavirus
1	@Kevkowichy	@kevkowichy	NOUN	NN	_	2	compound	_	_
2	Coronavirus	Coronavirus	PROPN	NNP	_	0	ROOT	_	_"
I hope coronavirus kills me tbh,neutral,"# text = I hope coronavirus kills me tbh
1	I	I	PRON	PRP	_	2	nsubj	_	_
2	hope	hope	VERB	VBP	_	0	ROOT	_	_
3	coronavirus	coronavirus	PROPN	NNP	_	4	nsubj	_	_
4	kills	kill	VERB	VBZ	_	2	ccomp	_	_
5	me	I	PRON	PRP	_	4	dobj	_	_
6	tbh	tbh	NOUN	NN	_	2	punct	_	_"
@MarkTreyger718 So it takes Coronavirus to ensure schools in NY have functioning bathrooms? Good luck with the containment effort...,positive,"# text = @MarkTreyger718
1	@MarkTreyger718	@MarkTreyger718	PROPN	NNP	_	0	ROOT	_	_

# text = So it takes Coronavirus to ensure schools in NY have functioning bathrooms?
1	So	so	SCONJ	IN	_	3	advmod	_	_
2	it	it	PRON	PRP	_	3	nsubj	_	_
3	takes	take	VERB	VBZ	_	0	ROOT	_	_
4	Coronavirus	Coronavirus	PROPN	NNP	_	3	dobj	_	_
5	to	to	PART	TO	_	6	aux	_	_
6	ensure	ensure	VERB	VB	_	3	xcomp	_	_
7	schools	school	NOUN	NNS	_	6	dobj	_	_
8	in	in	ADP	IN	_	7	prep	_	_
9	NY	NY	PROPN	NNP	_	8	pobj	_	_
10	have	have	VERB	VBP	_	3	conj	_	_
11	functioning	function	VERB	VBG	_	12	amod	_	_
12	bathrooms	bathroom	NOUN	NNS	_	10	dobj	_	_
13	?	?	PUNCT	.	_	3	punct	_	_

# text = Good luck with the containment effort...
1	Good	good	ADJ	JJ	_	2	amod	_	_
2	luck	luck	NOUN	NN	_	0	ROOT	_	_
3	with	with	ADP	IN	_	2	prep	_	_
4	the	the	DET	DT	_	6	det	_	_
5	containment	containment	NOUN	NN	_	6	compound	_	_
6	effort	effort	NOUN	NN	_	3	pobj	_	_
7	...	...	PUNCT	:	_	2	punct	_	_"
Nice work by @lailakearney and @MariaCaspani85. #coronavirus,positive,"# text = Nice work by @lailakearney and @MariaCaspani85.
1	Nice	nice	ADJ	JJ	_	2	amod	_	_
2	work	work	NOUN	NN	_	0	ROOT	_	_
3	by	by	ADP	IN	_	2	prep	_	_
4	@lailakearney	@lailakearney	PROPN	NNP	_	3	pobj	_	_
5	and	and	CCONJ	CC	_	4	cc	_	_
6	@MariaCaspani85	@MariaCaspani85	PROPN	NNP	_	4	conj	_	_
7	.	.	PUNCT	.	_	2	punct	_	_

# text = #coronavirus
1	#	#	SYM	$	_	2	punct	_	_
2	coronavirus	coronavirus	NOUN	NN	_	0	ROOT	_	_"
@jgrb Maybe the real coronavirus is me seeing my own photoshop tweeted back at me forever.,neutral,"# text = @jgrb Maybe the real coronavirus is me seeing my own photoshop tweeted back at me forever.
1	@jgrb	@jgrb	NOUN	NNS	_	6	npadvmod	_	_
2	Maybe	maybe	ADV	RB	_	6	advmod	_	_
3	the	the	DET	DT	_	5	det	_	_
4	real	real	ADJ	JJ	_	5	amod	_	_
5	coronavirus	coronavirus	NOUN	NN	_	6	nsubj	_	_
6	is	be	AUX	VBZ	_	8	aux	_	_
7	me	I	PRON	PRP	_	8	nsubj	_	_
8	seeing	see	VERB	VBG	_	0	ROOT	_	_
9	my	my	PRON	PRP$	_	11	poss	_	_
10	own	own	ADJ	JJ	_	11	amod	_	_
11	photoshop	photoshop	NOUN	NN	_	12	nsubj	_	_
12	tweeted	tweet	VERB	VBN	_	8	ccomp	_	_
13	back	back	ADV	RB	_	12	advmod	_	_
14	at	at	ADP	IN	_	12	prep	_	_
15	me	I	PRON	PRP	_	14	pobj	_	_
16	forever	forever	ADV	RB	_	12	advmod	_	_
17	.	.	PUNCT	.	_	8	punct	_	_"
Today News Coronavirus: Number of infected and dead exceeds that of Sars via @@NewslatestToday,negative,"# text = Today News Coronavirus: Number of infected and dead exceeds that of Sars via @@NewslatestToday
1	Today	today	NOUN	NN	_	3	compound	_	_
2	News	News	PROPN	NNP	_	3	compound	_	_
3	Coronavirus	Coronavirus	PROPN	NNP	_	0	ROOT	_	_
4	:	:	PUNCT	:	_	3	punct	_	_
5	Number	number	NOUN	NN	_	3	appos	_	_
6	of	of	ADP	IN	_	5	prep	_	_
7	infected	infected	ADJ	JJ	_	10	amod	_	_
8	and	and	CCONJ	CC	_	7	cc	_	_
9	dead	dead	ADJ	JJ	_	7	conj	_	_
10	exceeds	exceed	NOUN	NNS	_	6	pobj	_	_
11	that	that	PRON	DT	_	6	pobj	_	_
12	of	of	ADP	IN	_	11	prep	_	_
13	Sars	Sars	PROPN	NNP	_	12	pobj	_	_
14	via	via	ADP	IN	_	5	prep	_	_
15	@@NewslatestToday	@@newslatesttoday	NOUN	NN	_	14	pobj	_	_"
More coronavirus cases reported worldwide - #GoogleAlerts,positive,"# text = More coronavirus cases reported worldwide - #GoogleAlerts
1	More	More	ADJ	JJR	_	3	amod	_	_
2	coronavirus	coronavirus	NOUN	NN	_	3	compound	_	_
3	cases	case	NOUN	NNS	_	4	nsubj	_	_
4	reported	report	VERB	VBD	_	0	ROOT	_	_
5	worldwide	worldwide	ADV	RB	_	4	advmod	_	_
6	-	-	PUNCT	:	_	4	punct	_	_
7	#	#	SYM	$	_	8	nmod	_	_
8	GoogleAlerts	GoogleAlerts	PROPN	NNP	_	4	npadvmod	_	_"
"Arizona starts its own testing for coronavirus, allowing for faster response via @azcentral",positive,"# text = Arizona starts its own testing for coronavirus, allowing for faster response via @azcentral
1	Arizona	Arizona	PROPN	NNP	_	2	nsubj	_	_
2	starts	start	VERB	VBZ	_	0	ROOT	_	_
3	its	its	PRON	PRP$	_	5	poss	_	_
4	own	own	ADJ	JJ	_	5	amod	_	_
5	testing	testing	NOUN	NN	_	2	dobj	_	_
6	for	for	ADP	IN	_	5	prep	_	_
7	coronavirus	coronavirus	NOUN	NN	_	6	pobj	_	_
8	,	,	PUNCT	,	_	2	punct	_	_
9	allowing	allow	VERB	VBG	_	2	advcl	_	_
10	for	for	ADP	IN	_	9	prep	_	_
11	faster	fast	ADJ	JJR	_	12	amod	_	_
12	response	response	NOUN	NN	_	10	pobj	_	_
13	via	via	ADP	IN	_	12	prep	_	_
14	@azcentral	@azcentral	NOUN	NN	_	13	pobj	_	_"
Lol lere corona virus ke Cory???,positive,"# text = Lol lere corona virus ke Cory???
1	Lol	Lol	PROPN	NNP	_	6	compound	_	_
2	lere	lere	ADJ	JJ	_	4	amod	_	_
3	corona	corona	PROPN	NNP	_	4	compound	_	_
4	virus	virus	PROPN	NNP	_	6	compound	_	_
5	ke	ke	PROPN	NNP	_	6	compound	_	_
6	Cory	Cory	PROPN	NNP	_	0	ROOT	_	_
7	?	?	PUNCT	.	_	6	punct	_	_
8	?	?	PUNCT	.	_	6	punct	_	_
9	?	?	PUNCT	.	_	6	punct	_	_"
@ABC Make sure deal aren't infected by #Coronavirus,positive,"# text = @ABC Make sure deal aren't infected by #Coronavirus
1	@ABC	@abc	NOUN	NN	_	2	nsubj	_	_
2	Make	make	VERB	VBP	_	0	ROOT	_	_
3	sure	sure	ADJ	JJ	_	2	acomp	_	_
4	deal	deal	NOUN	NN	_	7	nsubjpass	_	_
5	are	be	AUX	VBP	_	7	auxpass	_	_
6	n't	not	PART	RB	_	7	neg	_	_
7	infected	infect	VERB	VBN	_	3	ccomp	_	_
8	by	by	ADP	IN	_	7	agent	_	_
9	#	#	SYM	$	_	10	nmod	_	_
10	Coronavirus	Coronavirus	PROPN	NNP	_	8	pobj	_	_"
Nice chart showing Coronavirus Declining in China among others @canuck2usa @OphirGottlieb,positive,"# text = Nice chart showing Coronavirus Declining in China among others @canuck2usa @OphirGottlieb
1	Nice	nice	ADJ	JJ	_	2	amod	_	_
2	chart	chart	NOUN	NN	_	3	nsubj	_	_
3	showing	show	VERB	VBG	_	0	ROOT	_	_
4	Coronavirus	Coronavirus	PROPN	NNP	_	5	compound	_	_
5	Declining	decline	VERB	VBG	_	3	dobj	_	_
6	in	in	ADP	IN	_	5	prep	_	_
7	China	China	PROPN	NNP	_	6	pobj	_	_
8	among	among	ADP	IN	_	5	prep	_	_
9	others	other	NOUN	NNS	_	8	pobj	_	_
10	@canuck2usa	@canuck2usa	PROPN	NNP	_	3	prep	_	_
11	@OphirGottlieb	@OphirGottlieb	PROPN	NNP	_	3	punct	_	_"
@s0ftcals Maureen is the coronavirus,neutral,"# text = @s0ftcals Maureen is the coronavirus
1	@s0ftcals	@s0ftcal	VERB	VBZ	_	0	ROOT	_	_
2	Maureen	Maureen	PROPN	NNP	_	3	nsubj	_	_
3	is	be	AUX	VBZ	_	1	ccomp	_	_
4	the	the	DET	DT	_	5	det	_	_
5	coronavirus	coronavirus	NOUN	NN	_	3	attr	_	_"
"#coronabeer has nothing to do with #coronavirus. :D So, I drink this now! :q",positive,"# text = #coronabeer has nothing to do with #coronavirus. :D
1	#	#	SYM	$	_	3	dep	_	_
2	coronabeer	coronabeer	NOUN	NN	_	3	nsubj	_	_
3	has	have	VERB	VBZ	_	0	ROOT	_	_
4	nothing	nothing	PRON	NN	_	3	dobj	_	_
5	to	to	PART	TO	_	6	aux	_	_
6	do	do	VERB	VB	_	4	relcl	_	_
7	with	with	ADP	IN	_	6	prep	_	_
8	#	#	SYM	$	_	9	nmod	_	_
9	coronavirus	coronavirus	NOUN	NN	_	7	pobj	_	_
10	.	.	PUNCT	.	_	3	punct	_	_
11	:D	:D	PUNCT	NFP	_	3	punct	_	_

# text = So, I drink this now! :
1	So	so	ADV	RB	_	4	advmod	_	_
2	,	,	PUNCT	,	_	4	punct	_	_
3	I	I	PRON	PRP	_	4	nsubj	_	_
4	drink	drink	VERB	VBP	_	0	ROOT	_	_
5	this	this	PRON	DT	_	4	dobj	_	_
6	now	now	ADV	RB	_	4	advmod	_	_
7	!	!	PUNCT	.	_	4	punct	_	_
8	:	:	PUNCT	:	_	4	punct	_	_

# text = q
1	q	q	X	ADD	_	0	ROOT	_	_"
"Communism is a disease lol ""China confirms 56 deaths as coronavirus spreads to multiple countries""",neutral,"# text = Communism is a disease lol ""China confirms 56 deaths as coronavirus spreads to multiple countries""
1	Communism	communism	NOUN	NN	_	2	nsubj	_	_
2	is	be	AUX	VBZ	_	0	ROOT	_	_
3	a	a	DET	DT	_	5	det	_	_
4	disease	disease	NOUN	NN	_	5	compound	_	_
5	lol	lol	NOUN	NN	_	2	attr	_	_
6	""	""	PUNCT	``	_	8	punct	_	_
7	China	China	PROPN	NNP	_	8	nsubj	_	_
8	confirms	confirm	VERB	VBZ	_	2	ccomp	_	_
9	56	56	NUM	CD	_	10	nummod	_	_
10	deaths	death	NOUN	NNS	_	8	dobj	_	_
11	as	as	ADP	IN	_	10	prep	_	_
12	coronavirus	coronavirus	NOUN	NN	_	13	compound	_	_
13	spreads	spread	NOUN	NNS	_	11	pobj	_	_
14	to	to	ADP	IN	_	13	prep	_	_
15	multiple	multiple	ADJ	JJ	_	16	amod	_	_
16	countries	country	NOUN	NNS	_	14	pobj	_	_
17	""	""	PUNCT	''	_	8	punct	_	_"
"川普说it's okay to go to work with Coronavirus. 推上的支那傻逼们不是一直在说川普是救世主吗?不是要打击cabal,illuminati吗?很可惜,他把你们卖了,傻逼。还不快听你们爹的意见,带病去法拉盛刷盘子?",positive,"# text = 川普说it's okay to go to work with Coronavirus.
1	川普说it	川普说it	PROPN	NNP	_	0	ROOT	_	_
2	's	's	PART	POS	_	1	case	_	_
3	okay	okay	ADJ	JJ	_	1	amod	_	_
4	to	to	PART	TO	_	5	aux	_	_
5	go	go	VERB	VB	_	1	relcl	_	_
6	to	to	ADP	IN	_	5	prep	_	_
7	work	work	VERB	VB	_	6	pobj	_	_
8	with	with	ADP	IN	_	7	prep	_	_
9	Coronavirus	Coronavirus	PROPN	NNP	_	8	pobj	_	_
10	.	.	PUNCT	.	_	1	punct	_	_

# text = 推上的支那傻逼们不是一直在说川普是救世主吗?不是要打击cabal,illuminati吗?很可惜,他把你们卖了,傻逼。还不快听你们爹的意见,带病去法拉盛刷盘子?
1	推上的支那傻逼们不是一直在说川普是救世主吗?不是要打击cabal	推上的支那傻逼们不是一直在说川普是救世主吗?不是要打击cabal	PROPN	NNP	_	9	punct	_	_
2	,	,	PUNCT	,	_	1	punct	_	_
3	illuminati吗?很可惜	illuminati吗?很可惜	ADJ	JJ	_	1	amod	_	_
4	,	,	PUNCT	,	_	3	punct	_	_
5	他把你们卖了	他把你们卖了	NOUN	NN	_	3	conj	_	_
6	,	,	PUNCT	,	_	5	punct	_	_
7	傻逼。还不快听你们爹的意见	傻逼。还不快听你们爹的意见	PROPN	NNP	_	5	conj	_	_
8	,	,	PUNCT	,	_	7	punct	_	_
9	带病去法拉盛刷盘子	带病去法拉盛刷盘子	PROPN	NNP	_	0	ROOT	_	_
10	?	?	PUNCT	.	_	9	punct	_	_"
Chinese journalist who wrote about Coronavirus missing in Wuhan,negative,"# text = Chinese journalist who wrote about Coronavirus missing in Wuhan
1	Chinese	chinese	ADJ	JJ	_	2	amod	_	_
2	journalist	journalist	NOUN	NN	_	0	ROOT	_	_
3	who	who	PRON	WP	_	4	nsubj	_	_
4	wrote	write	VERB	VBD	_	2	relcl	_	_
5	about	about	ADP	IN	_	4	prep	_	_
6	Coronavirus	Coronavirus	PROPN	NNP	_	5	pobj	_	_
7	missing	miss	VERB	VBG	_	4	advcl	_	_
8	in	in	ADP	IN	_	7	prep	_	_
9	Wuhan	Wuhan	PROPN	NNP	_	8	pobj	_	_"
"#ManUp, #China. #Coronavirus",neutral,"# text = #ManUp, #China.
1	#	#	SYM	$	_	2	punct	_	_
2	ManUp	ManUp	PROPN	NNP	_	0	ROOT	_	_
3	,	,	PUNCT	,	_	2	punct	_	_
4	#	#	SYM	$	_	5	nmod	_	_
5	China	China	PROPN	NNP	_	2	npadvmod	_	_
6	.	.	PUNCT	.	_	2	punct	_	_

# text = #Coronavirus
1	#	#	SYM	$	_	2	punct	_	_
2	Coronavirus	Coronavirus	PROPN	NNP	_	0	ROOT	_	_"
Coronavirus quarantine on a cruise ship: 'Trapped in your bathroom',negative,"# text = Coronavirus quarantine on a cruise ship: 'Trapped in your bathroom'
1	Coronavirus	Coronavirus	PROPN	NNP	_	2	compound	_	_
2	quarantine	quarantine	NOUN	NN	_	0	ROOT	_	_
3	on	on	ADP	IN	_	2	prep	_	_
4	a	a	DET	DT	_	6	det	_	_
5	cruise	cruise	NOUN	NN	_	6	compound	_	_
6	ship	ship	NOUN	NN	_	3	pobj	_	_
7	:	:	PUNCT	:	_	2	punct	_	_
8	'	'	PUNCT	``	_	9	punct	_	_
9	Trapped	trap	VERB	VBN	_	2	acl	_	_
10	in	in	ADP	IN	_	9	prep	_	_
11	your	your	PRON	PRP$	_	12	poss	_	_
12	bathroom	bathroom	NOUN	NN	_	10	pobj	_	_
13	'	'	PUNCT	''	_	9	punct	_	_"
@thisiscaramore @aantonop Corona virus would travel faster as well.,neutral,"# text = @thisiscaramore @aantonop Corona virus would travel faster as well.
1	@thisiscaramore	@thisiscaramore	VERB	VB	_	6	advmod	_	_
2	@aantonop	@aantonop	PROPN	NNP	_	3	compound	_	_
3	Corona	Corona	PROPN	NNP	_	4	compound	_	_
4	virus	virus	NOUN	NN	_	6	nsubj	_	_
5	would	would	AUX	MD	_	6	aux	_	_
6	travel	travel	VERB	VB	_	0	ROOT	_	_
7	faster	fast	ADV	RBR	_	6	advmod	_	_
8	as	as	ADV	RB	_	9	advmod	_	_
9	well	well	ADV	RB	_	6	advmod	_	_
10	.	.	PUNCT	.	_	6	punct	_	_"
A woman in China is warning people in China about the Corona virus,neutral,"# text = A woman in China is warning people in China about the Corona virus
1	A	a	DET	DT	_	2	det	_	_
2	woman	woman	NOUN	NN	_	6	nsubj	_	_
3	in	in	ADP	IN	_	2	prep	_	_
4	China	China	PROPN	NNP	_	3	pobj	_	_
5	is	be	AUX	VBZ	_	6	aux	_	_
6	warning	warn	VERB	VBG	_	0	ROOT	_	_
7	people	people	NOUN	NNS	_	6	dobj	_	_
8	in	in	ADP	IN	_	7	prep	_	_
9	China	China	PROPN	NNP	_	8	pobj	_	_
10	about	about	ADP	IN	_	6	prep	_	_
11	the	the	DET	DT	_	13	det	_	_
12	Corona	Corona	PROPN	NNP	_	13	compound	_	_
13	virus	virus	NOUN	NN	_	10	pobj	_	_"
Canadian Lunar New Year celebrations dampened by coronavirus worries,neutral,"# text = Canadian Lunar New Year celebrations dampened by coronavirus worries
1	Canadian	Canadian	PROPN	NNP	_	4	compound	_	_
2	Lunar	Lunar	PROPN	NNP	_	4	compound	_	_
3	New	New	PROPN	NNP	_	4	compound	_	_
4	Year	Year	PROPN	NNP	_	5	compound	_	_
5	celebrations	celebration	NOUN	NNS	_	0	ROOT	_	_
6	dampened	dampen	VERB	VBN	_	5	acl	_	_
7	by	by	ADP	IN	_	6	agent	_	_
8	coronavirus	coronavirus	NOUN	NN	_	9	compound	_	_
9	worries	worry	NOUN	NNS	_	7	pobj	_	_"
"State Department to move U.S. staff out of Wuhan, China, amid coronavirus outbreak",neutral,"# text = State Department to move U.S. staff out of Wuhan, China, amid coronavirus outbreak
1	State	State	PROPN	NNP	_	2	compound	_	_
2	Department	Department	PROPN	NNP	_	4	nsubj	_	_
3	to	to	PART	TO	_	4	aux	_	_
4	move	move	VERB	VB	_	0	ROOT	_	_
5	U.S.	U.S.	PROPN	NNP	_	6	compound	_	_
6	staff	staff	NOUN	NN	_	4	dobj	_	_
7	out	out	ADP	IN	_	4	prep	_	_
8	of	of	ADP	IN	_	7	prep	_	_
9	Wuhan	Wuhan	PROPN	NNP	_	8	pobj	_	_
10	,	,	PUNCT	,	_	9	punct	_	_
11	China	China	PROPN	NNP	_	9	appos	_	_
12	,	,	PUNCT	,	_	9	punct	_	_
13	amid	amid	ADP	IN	_	4	prep	_	_
14	coronavirus	coronavirus	PROPN	NNP	_	15	compound	_	_
15	outbreak	outbreak	NOUN	NN	_	13	pobj	_	_"
"Is it safe to travel to Spain? Latest advice as coronavirus hits Barcelona, Madrid and Canaries and Balearics",positive,"# text = Is it safe to travel to Spain?
1	Is	be	AUX	VBZ	_	0	ROOT	_	_
2	it	it	PRON	PRP	_	1	nsubj	_	_
3	safe	safe	ADJ	JJ	_	1	acomp	_	_
4	to	to	PART	TO	_	5	aux	_	_
5	travel	travel	VERB	VB	_	1	xcomp	_	_
6	to	to	ADP	IN	_	5	prep	_	_
7	Spain	Spain	PROPN	NNP	_	6	pobj	_	_
8	?	?	PUNCT	.	_	1	punct	_	_

# text = Latest advice as coronavirus hits Barcelona, Madrid and Canaries and Balearics
1	Latest	late	ADJ	JJS	_	2	amod	_	_
2	advice	advice	NOUN	NN	_	0	ROOT	_	_
3	as	as	SCONJ	IN	_	5	mark	_	_
4	coronavirus	coronavirus	NOUN	NN	_	5	nsubj	_	_
5	hits	hit	VERB	VBZ	_	2	advcl	_	_
6	Barcelona	Barcelona	PROPN	NNP	_	5	dobj	_	_
7	,	,	PUNCT	,	_	6	punct	_	_
8	Madrid	Madrid	PROPN	NNP	_	6	conj	_	_
9	and	and	CCONJ	CC	_	8	cc	_	_
10	Canaries	Canaries	PROPN	NNPS	_	8	conj	_	_
11	and	and	CCONJ	CC	_	10	cc	_	_
12	Balearics	balearic	NOUN	NNS	_	10	conj	_	_"
3M response to the increase in demand for respirators and increased number of inquiries due to #coronavirus,negative,"# text = 3M response to the increase in demand for respirators and increased number of inquiries due to #coronavirus
1	3	3	NUM	CD	_	3	nummod	_	_
2	M	m	NOUN	NN	_	3	compound	_	_
3	response	response	NOUN	NN	_	0	ROOT	_	_
4	to	to	ADP	IN	_	3	prep	_	_
5	the	the	DET	DT	_	6	det	_	_
6	increase	increase	NOUN	NN	_	4	pobj	_	_
7	in	in	ADP	IN	_	6	prep	_	_
8	demand	demand	NOUN	NN	_	7	pobj	_	_
9	for	for	ADP	IN	_	8	prep	_	_
10	respirators	respirator	NOUN	NNS	_	9	pobj	_	_
11	and	and	CCONJ	CC	_	3	cc	_	_
12	increased	increase	VERB	VBN	_	13	amod	_	_
13	number	number	NOUN	NN	_	3	conj	_	_
14	of	of	ADP	IN	_	13	prep	_	_
15	inquiries	inquiry	NOUN	NNS	_	14	pobj	_	_
16	due	due	ADP	IN	_	13	amod	_	_
17	to	to	ADP	IN	_	16	pcomp	_	_
18	#	#	SYM	$	_	17	punct	_	_
19	coronavirus	coronavirus	NOUN	NN	_	17	pobj	_	_"
"@SomeBitchIKnow It'll be interesting to see if tornados can spread the coronavirus, not just sharks.",positive,"# text = @SomeBitchIKnow It'll be interesting to see if tornados can spread the coronavirus, not just sharks.
1	@SomeBitchIKnow	@somebitchiknow	X	XX	_	4	dep	_	_
2	It	it	PRON	PRP	_	4	nsubj	_	_
3	'll	will	AUX	MD	_	4	aux	_	_
4	be	be	AUX	VB	_	0	ROOT	_	_
5	interesting	interesting	ADJ	JJ	_	4	acomp	_	_
6	to	to	PART	TO	_	7	aux	_	_
7	see	see	VERB	VB	_	4	xcomp	_	_
8	if	if	SCONJ	IN	_	11	mark	_	_
9	tornados	tornado	NOUN	NNS	_	11	nsubj	_	_
10	can	can	AUX	MD	_	11	aux	_	_
11	spread	spread	VERB	VB	_	7	ccomp	_	_
12	the	the	DET	DT	_	13	det	_	_
13	coronavirus	coronavirus	NOUN	NN	_	11	dobj	_	_
14	,	,	PUNCT	,	_	11	punct	_	_
15	not	not	PART	RB	_	17	neg	_	_
16	just	just	ADV	RB	_	17	advmod	_	_
17	sharks	shark	NOUN	NNS	_	11	dep	_	_
18	.	.	PUNCT	.	_	4	punct	_	_"
Four suspected coronavirus cases surface in Pakistan -,neutral,"# text = Four suspected coronavirus cases surface in Pakistan -
1	Four	four	NUM	CD	_	5	nummod	_	_
2	suspected	suspect	VERB	VBN	_	5	amod	_	_
3	coronavirus	coronavirus	NOUN	NN	_	4	compound	_	_
4	cases	case	NOUN	NNS	_	5	compound	_	_
5	surface	surface	NOUN	NN	_	0	ROOT	_	_
6	in	in	ADP	IN	_	5	prep	_	_
7	Pakistan	Pakistan	PROPN	NNP	_	6	pobj	_	_
8	-	-	PUNCT	HYPH	_	5	punct	_	_"
Nigerians who went to buy phones trapped in China over COVID-19 outbreak,negative,"# text = Nigerians who went to buy phones trapped in China over COVID-19 outbreak
1	Nigerians	Nigerians	PROPN	NNPS	_	12	nsubj	_	_
2	who	who	PRON	WP	_	3	nsubj	_	_
3	went	go	VERB	VBD	_	1	relcl	_	_
4	to	to	PART	TO	_	5	aux	_	_
5	buy	buy	VERB	VB	_	3	advcl	_	_
6	phones	phone	NOUN	NNS	_	5	dobj	_	_
7	trapped	trap	VERB	VBN	_	6	acl	_	_
8	in	in	ADP	IN	_	7	prep	_	_
9	China	China	PROPN	NNP	_	8	pobj	_	_
10	over	over	ADP	IN	_	7	prep	_	_
11	COVID-19	COVID-19	PROPN	NNP	_	10	pobj	_	_
12	outbreak	outbreak	NOUN	NN	_	0	ROOT	_	_"
Government has power to forcibly detain and decontaminate people with coronavirus | ABC News,positive,"# text = Government has power to forcibly detain and decontaminate people with coronavirus | ABC News
1	Government	government	NOUN	NN	_	2	nsubj	_	_
2	has	have	VERB	VBZ	_	0	ROOT	_	_
3	power	power	NOUN	NN	_	2	dobj	_	_
4	to	to	PART	TO	_	6	aux	_	_
5	forcibly	forcibly	ADV	RB	_	6	advmod	_	_
6	detain	detain	VERB	VB	_	3	acl	_	_
7	and	and	CCONJ	CC	_	6	cc	_	_
8	decontaminate	decontaminate	VERB	VB	_	6	conj	_	_
9	people	people	NOUN	NNS	_	6	conj	_	_
10	with	with	ADP	IN	_	6	prep	_	_
11	coronavirus	coronavirus	PROPN	NNP	_	12	compound	_	_
12	|	|	NOUN	NN	_	14	compound	_	_
13	ABC	ABC	PROPN	NNP	_	14	compound	_	_
14	News	News	PROPN	NNP	_	2	dobj	_	_"
Scientists urge caution around pangolin 'link' in spread of deadly coronavirus,negative,"# text = Scientists urge caution around pangolin 'link' in spread of deadly coronavirus
1	Scientists	scientist	NOUN	NNS	_	2	nsubj	_	_
2	urge	urge	VERB	VBP	_	0	ROOT	_	_
3	caution	caution	NOUN	NN	_	2	dobj	_	_
4	around	around	ADP	IN	_	3	prep	_	_
5	pangolin	pangolin	PROPN	NNP	_	7	nmod	_	_
6	'	'	PUNCT	``	_	7	punct	_	_
7	link	link	NOUN	NN	_	4	pobj	_	_
8	'	'	PUNCT	''	_	7	punct	_	_
9	in	in	ADP	IN	_	2	prep	_	_
10	spread	spread	NOUN	NN	_	9	pobj	_	_
11	of	of	ADP	IN	_	10	prep	_	_
12	deadly	deadly	ADJ	JJ	_	13	amod	_	_
13	coronavirus	coronavirus	NOUN	NN	_	11	pobj	_	_"
Constant disinfecting and empty streets: The reality of Beijing life since the coronavirus hit,negative,"# text = Constant disinfecting and empty streets: The reality of Beijing life since the coronavirus hit
1	Constant	constant	ADJ	JJ	_	2	amod	_	_
2	disinfecting	disinfecting	NOUN	NN	_	0	ROOT	_	_
3	and	and	CCONJ	CC	_	2	cc	_	_
4	empty	empty	ADJ	JJ	_	5	amod	_	_
5	streets	street	NOUN	NNS	_	2	conj	_	_
6	:	:	PUNCT	:	_	2	punct	_	_
7	The	the	DET	DT	_	8	det	_	_
8	reality	reality	NOUN	NN	_	2	appos	_	_
9	of	of	ADP	IN	_	8	prep	_	_
10	Beijing	Beijing	PROPN	NNP	_	11	compound	_	_
11	life	life	NOUN	NN	_	9	pobj	_	_
12	since	since	SCONJ	IN	_	15	mark	_	_
13	the	the	DET	DT	_	14	det	_	_
14	coronavirus	coronavirus	NOUN	NN	_	15	nsubj	_	_
15	hit	hit	VERB	VBD	_	8	advcl	_	_"
"believe yourself safe from coronavirus would be a ""fatal error""",positive,"# text = believe yourself safe from coronavirus would be a ""fatal error""
1	believe	believe	VERB	VB	_	7	csubj	_	_
2	yourself	yourself	PRON	PRP	_	3	nsubj	_	_
3	safe	safe	ADJ	JJ	_	1	ccomp	_	_
4	from	from	ADP	IN	_	3	prep	_	_
5	coronavirus	coronavirus	NOUN	NN	_	4	pobj	_	_
6	would	would	AUX	MD	_	7	aux	_	_
7	be	be	AUX	VB	_	0	ROOT	_	_
8	a	a	DET	DT	_	11	det	_	_
9	""	""	PUNCT	``	_	11	punct	_	_
10	fatal	fatal	ADJ	JJ	_	11	amod	_	_
11	error	error	NOUN	NN	_	7	attr	_	_
12	""	""	PUNCT	''	_	7	punct	_	_"
